0.1,0.15,0.15,0,0,0,1
0.45,0.75,0.7,0,0,0,1
0.5,0.75,0.7,0,0,0,1
0.5,0.75,0.7,0,0,0,1
0.5,0.75,0.75,0,0,0,1
0.5,0.75,0.75,0,0,0,1
0.5,0.8,0.75,0,0,0,1
0.55,0.8,0.8,0,0,0,1
0.55,0.85,0.8,0,0,0,1
0.6,0.9,0.85,0,0,0,1
0.6,0.9,0.85,0,0,0,1
0.65,0.95,0.9,0,0,0,1
0.65,1,0.9,0,0,0,1
0.7,1.05,0.95,0,0,0,1
0.7,1.05,1,0,0,0,1
0.75,1.1,1,0,0,0,1
0.75,1.1,1,0,0,0,1
0.75,1.1,1,0,0,0,1
0.75,1.1,1,0,0,0,1
0.8,1.1,1,0,0,0,1
0.75,1.05,0.95,0,0,0,1
0.75,1.05,0.95,0,0,0,1
0.75,1,0.9,0,0,0,1
0.75,0.95,0.9,0,0,0,1
0.7,0.95,0.85,0,0,0,1
0.7,0.9,0.85,0,0,0,1
0.65,0.85,0.8,0,0,0,1
0.6,0.85,0.75,0,0,0,1
0.6,0.8,0.75,0,0,0,1
0.55,0.8,0.7,0,0,0,1
0.55,0.75,0.7,0,0,0,1
0.5,0.7,0.65,0,0,0,1
0.5,0.7,0.65,0,0,0,1
0.45,0.7,0.6,0,0,0,1
0.45,0.65,0.6,0,0,0,1
0.4,0.65,0.6,0,0,0,1
0.4,0.6,0.55,0,0,0,1
0.4,0.6,0.55,0,0,0,1
0.35,0.55,0.55,0,0,0,1
0.35,0.55,0.5,0,0,0,1
0.35,0.55,0.5,0,0,0,1
0.35,0.5,0.5,0,0,0,1
0.3,0.5,0.45,0,0,0,1
0.3,0.5,0.45,0,0,0,1
0.3,0.45,0.45,0,0,0,1
0.3,0.45,0.45,0,0,0,1
0.3,0.45,0.45,0,0,0,1
0.25,0.4,0.4,0,0,0,1
0.25,0.4,0.4,0,0,0,1
0.25,0.4,0.4,0,0,0,1
0.25,0.4,0.4,0,0,0,1
0.25,0.35,0.4,0,0,0,1
0.25,0.35,0.35,0,0,0,1
0.25,0.35,0.35,0,0,0,1
0.25,0.35,0.35,0,0,0,1
0.25,0.35,0.35,0,0,0,1
0.25,0.3,0.35,0,0,0,1
0.25,0.3,0.35,0,0,0,1
0.2,0.3,0.3,0,0,0,1
0.2,0.3,0.3,0,0,0,1
0.2,0.3,0.3,0,0,0,1
0.2,0.3,0.3,0,0,0,1
0.2,0.3,0.3,0,0,0,1
0.2,0.3,0.3,0,0,0,1
0.2,0.3,0.3,0,0,0,1
0.2,0.3,0.3,0,0,0,1
0.2,0.3,0.3,0,0,0,1
0.2,0.3,0.3,0,0,0,1
0.2,0.3,0.3,0,0,0,1
0.2,0.3,0.3,0,0,0,1
0.2,0.3,0.3,0,0,0,1
0.2,0.3,0.3,0,0,0,1
0.2,0.3,0.3,0,0,0,1
0.2,0.3,0.3,0,0,0,1
0.2,0.3,0.3,0,0,0,1
0.2,0.3,0.3,0,0,0,1
0.2,0.3,0.3,0,0,0,1
0.2,0.3,0.3,0,0,0,1
0.2,0.3,0.3,0,0,0,1
0.2,0.3,0.3,0,0,0,1
0.2,0.3,0.3,0,0,0,1
0.2,0.3,0.3,0,0,0,1
0.2,0.35,0.35,0,0,0,1
0.2,0.35,0.35,0,0,0,1
0.25,0.35,0.35,0,0,0,1
0.25,0.35,0.35,0,0,0,1
0.25,0.35,0.35,0,0,0,1
0.25,0.4,0.35,0,0,0,1
0.25,0.4,0.4,0,0,0,1
0.25,0.4,0.4,0,0,0,1
0.25,0.4,0.35,0,0,0,1
0.25,0.35,0.35,0,0,0,1
0.25,0.35,0.35,0,0,0,1
0.25,0.35,0.35,0,0,0,1
0.25,0.35,0.35,0,0,0,1
0.2,0.35,0.35,0,0,0,1
0.2,0.35,0.35,0,0,0,1
0.2,0.3,0.3,0,0,0,1
0.2,0.3,0.3,0,0,0,1
0.2,0.3,0.3,0,0,0,1
0.2,0.3,0.3,0,0,0,1
0.15,0.25,0.3,0,0,0,1
0.15,0.25,0.3,0,0,0,1
0.15,0.25,0.25,0,0,0,1
0.15,0.25,0.25,0,0,0,1
0.15,0.25,0.25,0,0,0,1
0.15,0.2,0.25,0,0,0,1
0.15,0.2,0.25,0,0,0,1
0.15,0.2,0.25,0,0,0,1
0.15,0.2,0.25,0,0,0,1
0.15,0.2,0.2,0,0,0,1
0.1,0.2,0.2,0,0,0,1
0.1,0.2,0.2,0,0,0,1
0.1,0.2,0.2,0,0,0,1
0.1,0.2,0.2,0,0,0,1
0.1,0.15,0.2,0,0,0,1
0.1,0.15,0.2,0,0,0,1
0.1,0.15,0.2,0,0,0,1
0.1,0.15,0.2,0,0,0,1
0.1,0.15,0.2,0,0,0,1
0.1,0.15,0.2,0,0,0,1
0.1,0.15,0.2,0,0,0,1
0.1,0.15,0.2,0,0,0,1
0.1,0.15,0.2,0,0,0,1
0.1,0.15,0.2,0,0,0,1
0.1,0.15,0.2,0,0,0,1
0.1,0.15,0.2,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.05,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.05,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.2,0,0,0,1
0.1,0.15,0.2,0,0,0,1
0.1,0.2,0.2,0,0,0,1
0.15,0.2,0.2,0,0,0,1
0.15,0.25,0.25,0,0,0,1
0.15,0.3,0.3,0,0,0,1
0.2,0.3,0.3,0,0,0,1
0.2,0.35,0.3,0,0,0,1
0.2,0.35,0.35,0,0,0,1
0.2,0.35,0.35,0,0,0,1
0.25,0.35,0.35,0,0,0,1
0.2,0.35,0.35,0,0,0,1
0.2,0.35,0.35,0,0,0,1
0.2,0.35,0.35,0,0,0,1
0.2,0.3,0.35,0,0,0,1
0.2,0.3,0.3,0,0,0,1
0.2,0.3,0.3,0,0,0,1
0.2,0.3,0.3,0,0,0,1
0.15,0.3,0.3,0,0,0,1
0.15,0.25,0.3,0,0,0,1
0.15,0.25,0.3,0,0,0,1
0.15,0.25,0.25,0,0,0,1
0.15,0.25,0.25,0,0,0,1
0.15,0.25,0.25,0,0,0,1
0.15,0.2,0.25,0,0,0,1
0.15,0.2,0.25,0,0,0,1
0.15,0.2,0.25,0,0,0,1
0.15,0.2,0.2,0,0,0,1
0.15,0.2,0.2,0,0,0,1
0.15,0.2,0.2,0,0,0,1
0.15,0.2,0.2,0,0,0,1
0.15,0.2,0.2,0,0,0,1
0.1,0.2,0.2,0,0,0,1
0.1,0.2,0.2,0,0,0,1
0.1,0.2,0.2,0,0,0,1
0.1,0.2,0.2,0,0,0,1
0.1,0.2,0.2,0,0,0,1
0.1,0.2,0.2,0,0,0,1
0.1,0.2,0.2,0,0,0,1
0.1,0.2,0.2,0,0,0,1
0.15,0.2,0.2,0,0,0,1
0.15,0.2,0.2,0,0,0,1
0.15,0.2,0.2,0,0,0,1
0.15,0.2,0.2,0,0,0,1
0.15,0.2,0.2,0,0,0,1
0.15,0.2,0.25,0,0,0,1
0.15,0.2,0.25,0,0,0,1
0.15,0.25,0.25,0,0,0,1
0.15,0.25,0.25,0,0,0,1
0.2,0.25,0.3,0,0,0,1
0.2,0.3,0.3,0,0,0,1
0.2,0.3,0.3,0,0,0,1
0.2,0.3,0.3,0,0,0,1
0.2,0.35,0.35,0,0,0,1
0.2,0.35,0.35,0,0,0,1
0.2,0.35,0.35,0,0,0,1
0.25,0.35,0.35,0,0,0,1
0.25,0.35,0.35,0,0,0,1
0.25,0.35,0.35,0,0,0,1
0.25,0.35,0.35,0,0,0,1
0.25,0.35,0.35,0,0,0,1
0.2,0.35,0.35,0,0,0,1
0.2,0.35,0.35,0,0,0,1
0.2,0.35,0.35,0,0,0,1
0.2,0.3,0.35,0,0,0,1
0.2,0.3,0.3,0,0,0,1
0.2,0.3,0.3,0,0,0,1
0.2,0.3,0.3,0,0,0,1
0.15,0.25,0.3,0,0,0,1
0.15,0.25,0.3,0,0,0,1
0.15,0.25,0.3,0,0,0,1
0.15,0.25,0.25,0,0,0,1
0.15,0.25,0.25,0,0,0,1
0.15,0.25,0.25,0,0,0,1
0.15,0.25,0.25,0,0,0,1
0.15,0.2,0.25,0,0,0,1
0.15,0.2,0.25,0,0,0,1
0.15,0.2,0.25,0,0,0,1
0.15,0.2,0.25,0,0,0,1
0.15,0.2,0.25,0,0,0,1
0.15,0.2,0.2,0,0,0,1
0.15,0.2,0.25,0,0,0,1
0.15,0.2,0.2,0,0,0,1
0.15,0.2,0.2,0,0,0,1
0.15,0.2,0.2,0,0,0,1
0.15,0.2,0.2,0,0,0,1
0.15,0.2,0.2,0,0,0,1
0.15,0.2,0.25,0,0,0,1
0.15,0.2,0.25,0,0,0,1
0.15,0.2,0.25,0,0,0,1
0.15,0.2,0.25,0,0,0,1
0.15,0.2,0.25,0,0,0,1
0.15,0.2,0.2,0,0,0,1
0.15,0.2,0.2,0,0,0,1
0.15,0.2,0.2,0,0,0,1
0.1,0.2,0.2,0,0,0,1
0.1,0.2,0.2,0,0,0,1
0.1,0.2,0.2,0,0,0,1
0.1,0.2,0.2,0,0,0,1
0.1,0.2,0.2,0,0,0,1
0.1,0.2,0.2,0,0,0,1
0.1,0.15,0.2,0,0,0,1
0.1,0.15,0.2,0,0,0,1
0.1,0.15,0.2,0,0,0,1
0.1,0.15,0.2,0,0,0,1
0.1,0.2,0.2,0,0,0,1
0.1,0.15,0.2,0,0,0,1
0.1,0.2,0.2,0,0,0,1
0.1,0.2,0.2,0,0,0,1
0.1,0.2,0.2,0,0,0,1
0.1,0.2,0.2,0,0,0,1
0.1,0.2,0.2,0,0,0,1
0.1,0.2,0.2,0,0,0,1
0.1,0.2,0.2,0,0,0,1
0.1,0.2,0.2,0,0,0,1
0.1,0.2,0.2,0,0,0,1
0.1,0.2,0.2,0,0,0,1
0.1,0.2,0.2,0,0,0,1
0.1,0.2,0.2,0,0,0,1
0.1,0.2,0.2,0,0,0,1
0.1,0.2,0.2,0,0,0,1
0.1,0.2,0.2,0,0,0,1
0.1,0.2,0.2,0,0,0,1
0.1,0.2,0.2,0,0,0,1
0.1,0.2,0.2,0,0,0,1
0.1,0.2,0.2,0,0,0,1
0.1,0.2,0.2,0,0,0,1
0.1,0.2,0.2,0,0,0,1
0.1,0.2,0.2,0,0,0,1
0.1,0.2,0.2,0,0,0,1
0.1,0.2,0.2,0,0,0,1
0.1,0.2,0.2,0,0,0,1
0.1,0.2,0.2,0,0,0,1
0.1,0.2,0.2,0,0,0,1
0.1,0.2,0.2,0,0,0,1
0.1,0.2,0.2,0,0,0,1
0.1,0.2,0.2,0,0,0,1
0.1,0.2,0.2,0,0,0,1
0.1,0.2,0.2,0,0,0,1
0.1,0.2,0.2,0,0,0,1
0.1,0.2,0.2,0,0,0,1
0.1,0.2,0.2,0,0,0,1
0.1,0.2,0.2,0,0,0,1
0.1,0.2,0.2,0,0,0,1
0.1,0.2,0.2,0,0,0,1
0.1,0.2,0.2,0,0,0,1
0.1,0.2,0.2,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.05,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.05,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.15,0,0,0,1
0.1,0.15,0.155,0,0,0,1
